0.827000	0.875000	0.923000
0.821000	0.871000	0.922000
0.814000	0.868000	0.921000
0.808000	0.864000	0.920000
0.802000	0.860000	0.919000
0.795000	0.856000	0.917000
0.789000	0.853000	0.916000
0.783000	0.849000	0.915000
0.786000	0.853000	0.921000
0.789000	0.858000	0.927000
0.792000	0.862000	0.933000
0.795000	0.867000	0.939000
0.798000	0.872000	0.945000
0.801000	0.876000	0.952000
0.804000	0.881000	0.958000
0.798000	0.876000	0.954000
0.793000	0.872000	0.950000
0.788000	0.867000	0.947000
0.782000	0.862000	0.943000
0.777000	0.858000	0.939000
0.771000	0.853000	0.935000
0.766000	0.849000	0.932000
0.766000	0.848000	0.931000
0.765000	0.848000	0.931000
0.765000	0.848000	0.931000
0.764000	0.847000	0.930000
0.764000	0.847000	0.930000
0.763000	0.847000	0.930000
0.763000	0.846000	0.929000
0.768000	0.850000	0.932000
0.773000	0.853000	0.934000
0.778000	0.857000	0.936000
0.783000	0.861000	0.938000
0.788000	0.864000	0.940000
0.793000	0.868000	0.942000
0.798000	0.871000	0.945000
0.799000	0.871000	0.943000
0.800000	0.871000	0.942000
0.802000	0.871000	0.941000
0.803000	0.871000	0.939000
0.804000	0.871000	0.938000
0.805000	0.871000	0.936000
0.807000	0.871000	0.935000
0.807000	0.869000	0.932000
0.806000	0.868000	0.929000
0.806000	0.866000	0.925000
0.806000	0.864000	0.922000
0.806000	0.862000	0.919000
0.806000	0.861000	0.916000
0.806000	0.859000	0.913000
0.805000	0.859000	0.913000
0.805000	0.859000	0.913000
0.805000	0.859000	0.913000
0.805000	0.859000	0.913000
0.805000	0.859000	0.913000
0.805000	0.859000	0.914000
0.804000	0.859000	0.914000
0.804000	0.859000	0.914000
0.803000	0.859000	0.914000
0.803000	0.859000	0.915000
0.802000	0.859000	0.915000
0.802000	0.858000	0.915000
0.801000	0.858000	0.915000
0.801000	0.858000	0.916000
0.800000	0.856000	0.913000
0.800000	0.855000	0.910000
0.800000	0.853000	0.907000
0.799000	0.851000	0.903000
0.799000	0.850000	0.900000
0.799000	0.848000	0.897000
0.798000	0.846000	0.894000
0.793000	0.844000	0.894000
0.788000	0.841000	0.894000
0.783000	0.839000	0.894000
0.779000	0.836000	0.894000
0.774000	0.834000	0.894000
0.769000	0.831000	0.894000
0.764000	0.829000	0.894000
0.763000	0.828000	0.892000
0.762000	0.827000	0.891000
0.761000	0.825000	0.890000
0.760000	0.824000	0.889000
0.759000	0.823000	0.888000
0.758000	0.822000	0.887000
0.757000	0.821000	0.885000
0.754000	0.821000	0.888000
0.751000	0.821000	0.890000
0.748000	0.820000	0.892000
0.745000	0.820000	0.895000
0.742000	0.820000	0.897000
0.739000	0.819000	0.899000
0.736000	0.819000	0.902000
0.735000	0.821000	0.907000
0.733000	0.823000	0.912000
0.732000	0.825000	0.917000
0.731000	0.827000	0.923000
0.729000	0.829000	0.928000
0.728000	0.830000	0.933000
0.726000	0.832000	0.938000
0.726000	0.832000	0.938000
0.726000	0.832000	0.938000
0.726000	0.832000	0.938000
0.727000	0.832000	0.938000
0.727000	0.832000	0.938000
0.727000	0.832000	0.938000
0.727000	0.832000	0.938000
0.728000	0.832000	0.936000
0.729000	0.832000	0.934000
0.731000	0.831000	0.932000
0.732000	0.831000	0.930000
0.733000	0.831000	0.928000
0.734000	0.830000	0.926000
0.736000	0.830000	0.924000
0.735000	0.830000	0.925000
0.734000	0.830000	0.925000
0.733000	0.829000	0.926000
0.732000	0.829000	0.927000
0.731000	0.829000	0.927000
0.730000	0.829000	0.928000
0.729000	0.829000	0.929000
0.730000	0.830000	0.930000
0.732000	0.832000	0.931000
0.734000	0.833000	0.932000
0.736000	0.834000	0.933000
0.737000	0.836000	0.934000
0.739000	0.837000	0.936000
0.741000	0.839000	0.937000
0.737000	0.838000	0.939000
0.733000	0.838000	0.942000
0.730000	0.837000	0.944000
0.726000	0.836000	0.947000
0.722000	0.836000	0.950000
0.718000	0.835000	0.952000
0.715000	0.835000	0.955000
0.714000	0.833000	0.952000
0.714000	0.831000	0.949000
0.714000	0.830000	0.946000
0.714000	0.828000	0.943000
0.713000	0.827000	0.940000
0.713000	0.825000	0.937000
0.713000	0.823000	0.934000
0.712000	0.822000	0.932000
0.712000	0.821000	0.931000
0.711000	0.820000	0.930000
0.710000	0.820000	0.929000
0.709000	0.819000	0.928000
0.709000	0.818000	0.927000
0.708000	0.817000	0.925000
0.707000	0.820000	0.932000
0.707000	0.823000	0.939000
0.706000	0.826000	0.946000
0.705000	0.829000	0.954000
0.704000	0.833000	0.961000
0.704000	0.836000	0.968000
0.703000	0.839000	0.975000
0.703000	0.837000	0.972000
0.702000	0.836000	0.970000
0.702000	0.835000	0.968000
0.701000	0.833000	0.965000
0.701000	0.832000	0.963000
0.700000	0.830000	0.961000
0.700000	0.829000	0.958000
0.700000	0.827000	0.955000
0.700000	0.826000	0.952000
0.700000	0.824000	0.949000
0.699000	0.823000	0.946000
0.699000	0.821000	0.943000
0.699000	0.820000	0.940000
0.699000	0.818000	0.937000
0.698000	0.817000	0.937000
0.696000	0.816000	0.937000
0.694000	0.816000	0.937000
0.692000	0.815000	0.937000
0.690000	0.814000	0.937000
0.688000	0.813000	0.938000
0.687000	0.812000	0.938000
0.690000	0.812000	0.935000
0.692000	0.812000	0.931000
0.695000	0.812000	0.928000
0.698000	0.812000	0.925000
0.701000	0.812000	0.922000
0.704000	0.811000	0.919000
0.707000	0.811000	0.916000
0.715000	0.816000	0.917000
0.723000	0.821000	0.918000
0.731000	0.825000	0.919000
0.739000	0.830000	0.920000
0.747000	0.834000	0.922000
0.755000	0.839000	0.923000
0.763000	0.844000	0.924000
0.763000	0.844000	0.924000
0.763000	0.844000	0.924000
0.763000	0.844000	0.924000
0.763000	0.844000	0.924000
0.763000	0.844000	0.924000
0.763000	0.844000	0.924000
0.763000	0.844000	0.924000
